year,police_station,fatal_cases,fatal_male,fatal_female,fatal_total,severe_cases,severe_male,severe_female,severe_total,injured_cases,injured_male,injured_female,injured_total,noninjured_cases
1983,Subramanyangar,1,1,_,1,_,_,_,0,4,4,1,5,1
1983,Ulsoorgate,9,9,_,9,8,8,2,10,49,52,3,55,28
1983,S.J.Park,5,5,_,5,6,5,2,7,20,28,2,30,23
1983,S.R.Nagar,7,7,_,7,3,3,_,3,30,35,2,37,28
1983,Wilsongarden,11,11,_,11,2,3,_,3,113,137,3,140,29
1983,Ashokngar,15,15,1,16,12,10,4,14,83,95,4,99,45
1983,Viveknagar,2,2,_,2,2,2,_,2,15,18,_,18,8
1983,Koramangala,5,5,1,6,3,2,1,3,28,35,3,38,15
1983,Audogodi,3,3,_,3,3,3,1,4,33,45,2,47,18
1983,Madivala,17,17,1,18,15,15,2,17,41,51,1,52,22
1983,Micolayout,10,10,1,11,10,10,_,10,25,28,1,29,21
1983,Frazertown,7,7,_,7,5,4,1,5,42,42,3,45,18
1983,K.G.Halli,1,1,_,1,1,1,_,1,5,5,1,6,3
1983,D.J.Halli,1,1,_,1,1,1,_,1,5,5,1,6,2
1983,Banasawadi,5,5,_,5,4,4,_,4,18,18,2,20,11
1983,Ulsoor,12,14,_,14,10,9,2,11,49,60,3,63,36
1983,Indiranagar,4,5,_,5,4,4,1,5,35,45,2,47,71
1983,Byappanahalli,5,6,_,6,4,4,1,5,30,40,1,41,20
1983,K.R.Puram,7,8,_,8,6,6,_,6,35,45,1,46,22
1983,Mahadevpura,3,3,_,3,3,3,_,3,14,14,1,15,7
1983,H.A.L,3,3,_,3,2,2,_,2,16,16,_,16,8
1983,Airport,2,2,_,2,1,1,_,1,18,18,1,19,9
1983,J.B.Nagar,_,_,_,0,_,_,_,0,10,10,_,10,5
1984,Central,13,11,2,13,27,28,3,31,56,60,4,64,40
1984,Kalasipalya,1,1,_,1,16,19,4,23,35,43,5,48,32
1984,Shankarpura,4,4,_,4,9,8,1,9,22,28,3,31,11
1984,Victoria,_,_,_,0,_,_,_,_,_,_,_,0,_
1984,Chamrajpet,13,10,3,13,33,35,3,38,51,59,7,66,26
1984,Byatarayanapura,19,22,1,23,24,25,2,27,53,70,6,76,24
1984,Kengeri,8,8,_,8,3,3,_,_3,27,31,3,34,11
1984,Janabharathi,_,_,_,0,1,_,11,_,15,_,5,5,17
1984,G.G.Halli,_,_,_,0,4,2,2,4,5,3,2,5,8
1984,Girinagar,_,_,_,0,_,_,_,_,4,3,1,4,2
1984,Chikpet,2,2,_,2,5,5,_,5,34,39,1,40,15
1984,Upparpet,7,6,1,7,18,16,2,16,94,108,2,110,45
1984,Citymarket,1,1,_,1,7,7,_,7,25,31,6,37,12
1984,N.T.Pet,3,2,1,3,6,5,1,5,18,19,_,19,9
1984,Kengerigate,7,7,_,7,18,18,_,18,21,36,_,36,21
1984,Magadiroad,11,9,1,10,13,12,1,12,30,43,21,64,74
1984,J.J.Nagar,2,2,-,2,5,5,_,5,21,22,15,37,43
1984,Malleshwaram,7,6,1,7,2,2,_,2,68,65,15,80,26
1984,Sadashivnagar,2,2,_,2,1,1,_,1,35,10,12,22,14
1984,Srirampura,9,8,_,8,2,2,_,2,51,59,8,67,12
1984,Yeshwanthpura,22,10,1,11,3,1,3,1,130,30,68,98,168
1984,RMC.Yard,_,_,3,3,_,_,_,_,4,5,_,5,8
1984,Peenya,14,13,2,15,1,1,_,1,51,70,25,95,35
1984,S.D.Halli,1,1,_,1,_,_,_,_,1,1,_,1,_
1984,Jalahalli,2,2,_,2,_,_,_,0,12,15,3,18,8
1984,G.Gudi,3,3,_,3,_,_,_,0,31,45,10,55,1
1984,Rajajinagar,11,10,1,11,4,3,1,4,106,115,12,127,39
1984,Vijayanagar,12,9,3,12,3,3,_,3,72,88,8,96,22
1984,Subramanyapura,10,8,2,10,4,4,_,4,52,57,10,67,25
1984,M.Layout,2,1,1,2,1,1,_,1,11,11,2,13,8
1984,Basveshwarnagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1984,Kamakshipalya,_,_,_,0,_,_,_,0,_,_,_,0,_
1984,Rajgopalnagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1984,H.Grounds,13,13,_,13,26,25,2,27,77,87,10,97,53
1984,Cubbonpark,2,2,_,2,25,24,2,26,55,65,7,72,77
1984,C.Street,5,5,_,5,20,23,2,25,38,40,2,42,32
1984,Bharathinagar,5,5,_,5,15,16,_,16,21,25,2,27,18
1984,Shivajinagar,1,1,_,1,10,11,_,11,15,17,1,18,10
1984,Sheshadripuram,7,7,1,8,18,16,2,18,56,80,4,84,17
1984,Vyalikaval,4,4,_,4,15,13,1,14,43,65,3,68,18
1984,Hebbal,6,6,_,6,10,10,_,10,30,35,2,37,19
1984,Yelahanka,9,9,_,9,11,9,1,10,39,48,2,50,11
1984,J.C.Nagar,3,3,_,3,10,9,1,10,22,30,2,32,11
1984,R.T.Nagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1984,Vidhanasoudha,3,3,_,3,9,9,_,9,25,28,_,28,11
1984,Jayanagar,5,6,_,6,17,17,_,17,91,95,13,108,21
1984,J.P.Nagar,2,2,_,2,1,1,_,1,8,8,4,12,6
1984,Siddapura,_,_,_,0,3,3,_,3,22,23,2,25,13
1984,Thilaknagar,4,4,_,4,15,14,1,15,10,11,_,11,5
1984,Basavanagudi,7,8,_,8,9,9,_,9,49,52,3,55,29
1984,T.R.Nagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1984,Banashankari,4,4,_,4,4,4,_,4,27,28,8,36,7
1984,Hanumanthanagar,4,4,_,4,6,5,1,6,21,25,5,30,10
1984,Subramanyapura,2,2,_,2,2,2,_,2,6,6,2,8,1
1984,Ulsoorgate,6,6,_,6,17,15,2,17,70,72,8,80,28
1984,S.J.Park,2,2,_,2,6,6,_,6,50,53,8,61,27
1984,S.R.Nagar,10,12,_,12,16,15,1,16,37,39,17,56,26
1984,Wilsongarden,14,15,_,15,18,17,4,21,68,75,12,87,47
1984,Ashoknagar,12,12,1,13,25,23,2,25,88,98,3,101,75
1984,Viveknagar,2,2,_,2,2,2,_,2,11,11,_,11,7
1984,Koramanagala,7,7,1,8,6,6,_,6,21,39,1,40,19
1984,Audogodi,3,3,_,3,6,6,_,6,25,40,1,41,20
1984,Madivala,10,10,1,11,13,13,1,14,29,31,3,34,28
1984,Mico Lay Out,8,8,_,8,10,10,_,10,22,31,25,56,65
1984,Frazertown,9,9,1,10,10,7,3,10,71,80,3,83,22
1984,K.G.Halli,4,4,1,5,3,3,_,3,10,15,1,16,5
1984,D.G.Halli,1,1,_,1,3,3,_,3,5,5,1,6,3
1984,Banasavadi,3,3,_,3,4,4,_,4,15,15,1,16,14
1984,Ulsoor,14,14,_,14,14,10,4,14,60,68,3,71,40
1984,Indiaranagar,8,8,_,8,8,8,_,8,50,50,1,51,30
1984,Byappanahalli,9,9,_,9,9,9,_,9,30,30,1,31,18
1984,K.R.Puram,8,8,_,8,8,8,_,8,25,25,1,26,22
1984,Mahadevapura,4,4,_,4,4,4,_,4,12,12,1,13,10
1984,H.A.L,1,1,_,1,1,1,_,1,20,20,_,20,14
1984,Airport,_,_,_,0,7,7,_,7,14,14,_,14,12
1984,J.B.Nagar,_,_,_,0,4,4,_,4,8,8,_,8,5
1985,Central,10,9,1,10,21,21,2,23,30,40,2,42,21
1985,Kalasipalya,13,12,1,13,33,33,3,36,56,67,3,70,40
1985,Shanakarpura,_,_,_,0,10,10,_,10,10,18,1,19,4
1985,Victoria,_,_,_,0,3,3,_,3,6,3,_,3,2
1985,Chamrajpet,15,12,3,15,27,27,3,30,29,39,2,41,13
1985,Gavipuram,_,_,_,0,6,6,_,6,21,29,2,31,12
1985,Girinagar,_,_,_,0,3,3,_,3,14,19,_,19,9
1985,Byatarayanapura,14,14,2,16,21,25,1,26,30,45,4,49,11
1985,Janabharathi,1,1,_,1,5,5,_,5,12,12,_,12,3
1985,Kengeri,5,4,1,5,9,9,_,9,18,23,1,24,14
1985,Jayanagar,18,18,_,18,14,13,1,14,72,75,2,77,17
1985,J.P.Nagar,3,4,_,4,_,_,_,0,14,15,4,19,2
1985,Siddapura,2,2,_,2,10,11,_,11,24,28,4,32,17
1985,Thilaknagar,1,1,_,1,2,2,_,2,19,19,7,26,7
1985,Basavanagudi,9,9,_,9,13,12,1,13,55,58,2,60,24
1985,T.R.Nagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1985,Banashanakari,8,9,_,9,6,6,_,6,14,15,8,23,9
1985,Hanumanthanagara,2,2,_,2,6,6,_,6,14,18,4,22,11
1985,Subramanyapura,2,2,_,2,_,_,_,0,11,15,8,23,5
1985,Ulsoorgate,6,6,_,6,_,_,_,0,93,102,2,104,43
1985,S.J.Park,6,6,_,6,6,6,1,7,58,60,8,68,27
1985,S.R.Nagar,4,5,_,5,1,1,_,1,51,61,6,67,36
1985,Wilsongarden,7,9,_,9,5,4,1,5,78,109,13,122,42
1985,Chikpet,3,3,_,,6,6,_,6,19,23,1,24,18
1985,Jalahalli,8,8,_,8,7,7,_,7,22,35,1,36,21
1985,Citymarket,7,5,_,5,9,8,1,9,31,48,_,48,22
1985,N.T.Pet,4,4,_,4,7,7,_,7,25,39,2,41,20
1985,Magadiroad,9,9,1,10,18,16,2,18,61,84,1,85,25
1985,Kengerigate,10,10,2,12,8,8,_,8,40,53,2,55,16
